iteration,result,exited,return_code,signaled,term_sig,runtime,inject_delay
0,0,True,0,False,0,17.283306121826172,9815
1,0,True,0,False,0,17.40845012664795,10892
2,0,True,0,False,0,17.292255401611328,341
3,0,True,0,False,0,17.349961042404175,5217
4,0,True,0,False,0,17.3227858543396,9225
5,0,True,0,False,0,17.583678245544434,9073
6,0,True,0,False,0,17.44277834892273,8160
7,0,True,0,False,0,17.26301336288452,10437
8,0,True,0,False,0,17.963526248931885,8500
9,0,True,0,False,0,17.327847242355347,9539
10,0,True,0,False,0,17.449012279510498,3713
11,0,True,0,False,0,20.542224407196045,1487
12,0,True,0,False,0,25.364497184753418,2720
13,0,True,0,False,0,24.749760627746582,45
14,0,True,0,False,0,23.666056871414185,2175
15,0,True,0,False,0,23.401745796203613,10123
16,0,True,0,False,0,24.80866575241089,5850
17,0,True,0,False,0,24.966559648513794,7903
18,0,True,0,False,0,24.42552614212036,5773
19,0,True,0,False,0,25.294898509979248,8051
20,0,True,0,False,0,16.491616249084473,6557
21,0,True,0,False,0,16.861209630966187,11411
22,0,True,0,False,0,17.289947271347046,2614
23,0,True,0,False,0,17.34455680847168,10862
24,0,True,0,False,0,17.30960774421692,12064
25,0,True,0,False,0,17.335132360458374,5074
26,0,True,0,False,0,19.774160623550415,2683
27,0,True,0,False,0,17.199526071548462,1559
28,0,True,0,False,0,18.772396564483643,10590
29,0,True,0,False,0,17.431642532348633,7299
30,0,True,0,False,0,17.41434669494629,8650
31,0,True,0,False,0,17.33832550048828,179
32,0,True,0,False,0,17.382185220718384,11759
33,0,True,0,False,0,17.56315279006958,12300
34,0,True,0,False,0,17.319812774658203,11697
35,0,True,0,False,0,17.288732290267944,9315
36,0,True,0,False,0,17.366178512573242,1670
37,0,True,0,False,0,17.370874881744385,11326
38,0,True,0,False,0,17.35426950454712,5395
39,0,True,0,False,0,17.32092022895813,11790
40,0,True,0,False,0,17.32763433456421,7231
41,0,True,0,False,0,17.380913972854614,10501
42,0,True,0,False,0,17.193037509918213,3676
43,0,True,0,False,0,17.242284536361694,4772
44,0,True,0,False,0,17.253076314926147,476
45,0,True,0,False,0,17.32180643081665,6903
46,0,True,0,False,0,17.187386989593506,12316
47,0,True,0,False,0,17.71285843849182,11854
48,0,True,0,False,0,17.39636778831482,508
49,0,True,0,False,0,17.26103711128235,3112
50,0,True,0,False,0,17.3083233833313,2892
51,0,True,0,False,0,17.294001579284668,30
52,0,True,0,False,0,17.27899718284607,6801
53,0,True,0,False,0,17.30836796760559,802
54,0,True,0,False,0,17.377397537231445,9056
55,0,True,0,False,0,17.32657480239868,4178
56,0,True,0,False,0,17.3141450881958,11826
57,0,True,0,False,0,17.595301389694214,3417
58,0,True,0,False,0,17.362839937210083,3430
59,0,True,0,False,0,17.355366706848145,12066
60,0,True,0,False,0,17.24110436439514,8335
61,0,True,0,False,0,17.33618927001953,2271
62,0,True,0,False,0,17.271075010299683,4627
