iteration,result,exited,return_code,signaled,term_sig,runtime,inject_delay
0,0,True,0,False,0,17.32066559791565,5363
1,0,True,0,False,0,17.2648983001709,7442
2,0,True,0,False,0,17.28896999359131,4044
3,0,True,0,False,0,17.334837436676025,2205
4,0,True,0,False,0,17.28337812423706,2086
5,0,True,0,False,0,20.467235803604126,6595
6,0,True,0,False,0,17.34587836265564,2967
7,0,True,0,False,0,17.32156753540039,818
8,2,False,0,True,11,17.70371389389038,9486
9,0,True,0,False,0,19.899723768234253,5028
10,0,True,0,False,0,17.33078169822693,6536
11,0,True,0,False,0,17.473337650299072,8448
12,0,True,0,False,0,17.55146098136902,814
13,0,True,0,False,0,22.241941452026367,10210
14,0,True,0,False,0,22.210317850112915,10206
15,0,True,0,False,0,17.293373823165894,169
16,0,True,0,False,0,17.355043649673462,5441
17,0,True,0,False,0,22.421884775161743,5154
18,0,True,0,False,0,22.85701322555542,1850
19,0,True,0,False,0,22.870078802108765,3150
20,0,True,0,False,0,17.17572331428528,5911
21,0,True,0,False,0,17.24894618988037,6881
22,0,True,0,False,0,17.121955633163452,8985
23,0,True,0,False,0,16.74075961112976,2356
24,0,True,0,False,0,16.93954610824585,2228
25,0,True,0,False,0,17.079652309417725,1497
26,0,True,0,False,0,17.29624366760254,4177
27,0,True,0,False,0,17.07285189628601,10313
28,0,True,0,False,0,17.303059339523315,11469
29,0,True,0,False,0,17.316439628601074,5139
30,0,True,0,False,0,17.314558744430542,12686
31,0,True,0,False,0,17.313414573669434,3358
32,0,True,0,False,0,17.26114559173584,7521
33,0,True,0,False,0,17.282147645950317,3146
34,0,True,0,False,0,17.199214696884155,7120
35,0,True,0,False,0,17.129600524902344,9200
36,0,True,0,False,0,17.54195761680603,7340
37,0,True,0,False,0,17.241430044174194,10195
38,0,True,0,False,0,17.241435527801514,12569
39,0,True,0,False,0,17.493807554244995,12424
40,0,True,0,False,0,17.38670778274536,11867
41,0,True,0,False,0,17.29288148880005,3551
42,0,True,0,False,0,17.186848640441895,6334
43,0,True,0,False,0,17.235716104507446,6801
44,0,True,0,False,0,17.254358768463135,12340
45,0,True,0,False,0,17.241429090499878,1676
